37001,,,3,1,2,3
37002,,,2,1,1,1
37003,,,2,0,1,3
37004,,,2,0,1,3
37005,,,4,1,1,3
37006,,,5,2,1,3
37007,,,2,1,1,3
37008,,,3,1,1,3
37009,,,2,0,1,3
37010,,,3,2,1,3
37011,,,3,2,1,3
37012,,,3,1,1,3
37013,,,3,1,2,3
37014,,,4,1,1,3
37015,,,2,0,1,3
37016,,,2,0,2,3
37017,,,3,1,1,3
37018,,,2,0,3,3
37019,,,1,0,1,3
37020,,,1,1,1,3
37021,,,3,1,2,3
37022,,,2,1,1,3
37023,,,3,0,1,3
37024,,,2,0,3,3
37025,,,3,0,1,3
37026,,,2,0,1,3
37027,,,5,1,2,3
37028,,,2,0,2,3
37029,,,1,1,1,3
37030,,,1,1,1,3
37031,,,2,0,2,3
37032,,,2,0,2,3
37033,,,3,0,1,3
37034,,,2,0,2,3
37035,,,2,1,2,3
37036,,,3,1,2,3
37037,,,2,0,2,3
37038,,,2,0,2,3
37039,,,3,1,2,3
37040,,,2,1,1,3
37041,,,2,0,1,3
37042,,,2,1,1,3
37043,,,2,0,3,3
37044,,,2,0,1,3
37045,,,2,0,2,3
37046,,,3,0,2,3
37047,,,1,0,3,3
37048,,,3,2,1,1
37049,,,7,2,1,3
37050,,,2,1,2,3
37051,,,2,0,2,3
37052,,,2,1,1,3
37053,,,3,1,1,3
37054,,,2,1,1,3
37055,,,1,1,1,3
37056,,,2,0,1,3
37057,,,2,0,1,3
37058,,,2,1,1,1
37059,,,3,0,1,3
37060,,,5,1,1,3
37061,,,5,1,1,3
37062,,,4,1,1,3
37063,,,3,1,2,3
37064,,,3,1,2,3
37065,,,4,1,1,3
37066,,,2,1,2,3
37067,,,2,1,1,3
37068,,,2,0,1,3
37069,,,2,0,3,3
37070,,,2,0,3,3
37071,,,2,1,1,3
37072,,,3,2,1,3
37073,,,2,1,1,3
37074,,,2,1,1,3
37075,,,2,1,1,3
37076,,,3,1,3,3
37077,,,2,0,1,3
37078,,,2,1,1,3
37079,,,2,0,1,3
37080,,,3,1,1,3
37081,,,4,1,1,1
37082,,,5,2,1,1
37083,,,3,1,1,3
37084,,,2,0,1,3
37085,,,2,0,3,3
37086,,,2,0,2,3
37087,,,1,1,1,3
37088,,,2,1,1,3
37089,,,2,1,1,3
37090,,,3,1,2,3
37091,,,2,0,2,3
37092,,,2,0,2,3
37093,,,3,1,1,3
37094,,,2,1,1,3
37095,,,2,0,1,3
37096,,,2,0,2,3
37097,,,2,1,2,3
37098,,,3,1,2,3
37099,,,1,1,1,3
37100,,,3,0,1,3
37101,,,1,0,1,3
37102,,,2,0,2,3
37103,,,2,0,1,3
37104,,,3,1,1,3
37105,,,3,0,1,3
37106,,,2,1,2,3
37107,,,4,1,2,3
37108,,,2,0,3,3
37109,,,2,0,3,3
37110,,,2,0,2,3
37111,,,2,1,2,3
37112,,,2,0,2,3
37113,,,5,1,2,3
37114,,,4,0,1,3
37115,,,2,0,3,3
37116,,,2,0,3,3
37117,,,2,1,1,3
37118,,,2,0,2,3
37119,,,2,0,2,3
37120,,,2,1,1,3
37121,,,2,0,2,3
